LoanID,AccountID,EntryDate,Amount,Duration,Payments,StatusID,DistrictID
6534,7542,1997-10-19,590820.0,60,9847.0,C,54
6791,8926,1998-01-23,566640.0,60,9444.0,C,1
5447,2335,1997-11-12,541200.0,60,9020.0,D,70
5132,817,1995-02-17,538500.0,60,8975.0,C,5
5569,2936,1998-01-20,504000.0,60,8400.0,C,3
6436,7049,1998-05-22,495180.0,60,8253.0,C,69
7142,10451,1994-12-19,482940.0,60,8049.0,D,1
6415,6950,1997-02-12,475680.0,48,9910.0,C,36
6625,7966,1997-09-07,473280.0,60,7888.0,D,54
5043,339,1997-12-25,468060.0,60,7801.0,C,46
5486,2516,1997-06-13,466608.0,48,9721.0,C,6
5976,4794,1997-12-27,465504.0,48,9698.0,D,72
5970,4774,1995-07-09,465072.0,48,9689.0,C,66
6228,6034,1993-12-01,464520.0,60,7742.0,B,6
5731,3711,1997-11-05,460980.0,60,7683.0,D,3
5725,3679,1996-07-23,444864.0,48,9268.0,C,64
5561,2910,1998-08-29,437460.0,60,7291.0,C,68
5491,2545,1998-02-13,428784.0,48,8933.0,C,1
7101,10297,1996-11-18,421008.0,48,8771.0,C,14
7304,11349,1995-10-29,419880.0,60,6998.0,C,1
7154,10520,1996-12-05,417600.0,60,6960.0,C,55
6704,8377,1995-06-01,417060.0,60,6951.0,C,29
5419,2246,1997-02-05,415800.0,60,6930.0,C,1
6237,6075,1998-01-06,407952.0,48,8499.0,D,19
5830,4190,1997-08-28,405780.0,60,6763.0,C,62
5938,4650,1996-08-25,402000.0,60,6700.0,C,4
6055,5181,1997-04-28,399120.0,60,6652.0,C,75
6272,6226,1994-12-20,398640.0,60,6644.0,C,74
5329,1862,1996-10-16,396120.0,60,6602.0,C,19
7271,11186,1996-10-02,392460.0,60,6541.0,C,12
6338,6592,1997-08-24,390660.0,60,6511.0,C,1
6554,7637,1997-01-29,390096.0,48,8127.0,C,46
5589,3005,1998-06-05,390000.0,48,8125.0,C,42
5236,1374,1997-09-15,389136.0,48,8107.0,C,53
5282,1583,1996-08-24,388512.0,48,8094.0,D,69
5318,1808,1998-09-30,385584.0,48,8033.0,C,28
7209,10857,1997-11-30,385560.0,60,6426.0,D,50
5174,1093,1997-06-13,385104.0,48,8023.0,C,54
5563,2912,1996-02-29,380160.0,60,6336.0,C,74
6926,9455,1998-02-07,374760.0,60,6246.0,C,73
6585,7795,1996-10-29,372120.0,60,6202.0,C,64
5041,319,1997-07-11,369000.0,60,6150.0,C,47
6109,5422,1996-06-03,368880.0,60,6148.0,C,66
6239,6083,1997-09-28,360864.0,48,7518.0,D,6
5494,2572,1996-06-13,360000.0,48,7500.0,C,64
6006,4948,1996-11-15,359760.0,60,5996.0,C,43
5063,442,1997-07-10,357840.0,48,7455.0,D,54
4989,105,1998-12-05,352704.0,48,7348.0,C,21
6118,5477,1997-10-04,349392.0,48,7279.0,C,57
7100,10280,1997-12-31,348120.0,60,5802.0,C,69
5418,2245,1995-01-16,347952.0,48,7249.0,C,29
6938,9504,1997-03-10,341280.0,60,5688.0,C,9
7195,10774,1998-04-23,339168.0,48,7066.0,C,46
5532,2754,1997-05-04,335280.0,48,6985.0,C,57
5991,4858,1998-07-27,335184.0,48,6983.0,D,67
5772,3906,1998-03-08,334620.0,60,5577.0,C,52
6705,8381,1997-07-25,333648.0,48,6951.0,D,14
5042,330,1998-07-12,331584.0,48,6908.0,C,42
7004,9869,1995-03-15,331560.0,60,5526.0,C,12
5865,4354,1998-10-30,327660.0,60,5461.0,C,38
6038,5120,1994-08-10,323472.0,48,6739.0,A,1
6821,9037,1998-09-15,321936.0,48,6707.0,C,1
6235,6062,1998-04-19,321360.0,60,5356.0,C,24
5889,4456,1998-02-09,321240.0,60,5354.0,C,14
5611,3115,1996-11-15,321180.0,60,5353.0,C,14
6063,5213,1996-04-25,320976.0,48,6687.0,D,1
6550,7614,1996-05-18,320592.0,48,6679.0,C,62
4967,37,1998-10-14,318480.0,60,5308.0,D,20
6028,5072,1997-02-09,317520.0,60,5292.0,C,6
7292,11317,1998-11-22,317460.0,60,5291.0,C,50
5724,3678,1995-02-05,316140.0,60,5269.0,D,1
5435,2279,1998-06-01,314688.0,48,6556.0,C,2
7227,10942,1995-10-02,314520.0,60,5242.0,C,44
7050,10065,1997-09-23,311232.0,48,6484.0,C,76
6695,8320,1997-06-04,309660.0,60,5161.0,C,51
6540,7562,1995-12-31,309600.0,48,6450.0,C,72
5145,915,1995-09-16,309552.0,48,6449.0,C,72
5758,3859,1997-05-02,307200.0,60,5120.0,D,53
7085,10202,1997-06-19,305424.0,48,6363.0,C,70
6087,5313,1994-02-27,300660.0,60,5011.0,C,40
7001,9859,1997-08-10,300600.0,60,5010.0,C,27
5918,4576,1994-06-04,300204.0,36,8339.0,A,27
5395,2176,1994-07-30,299088.0,36,8308.0,B,67
6350,6678,1997-07-09,294384.0,48,6133.0,C,54
5363,2051,1997-04-22,293880.0,60,4898.0,D,64
5469,2445,1997-12-26,293160.0,60,4886.0,C,52
5354,2000,1998-07-14,290820.0,60,4847.0,C,5
6175,5735,1996-02-21,290700.0,60,4845.0,D,52
6007,4949,1997-08-30,289920.0,48,6040.0,C,33
6435,7045,1997-06-16,288720.0,48,6015.0,C,51
6526,7523,1995-01-03,288468.0,36,8013.0,A,63
6736,8558,1994-06-14,288360.0,60,4806.0,C,1
6153,5632,1995-07-25,285600.0,60,4760.0,C,5
6877,9241,1997-06-19,285240.0,60,4754.0,C,74
5148,940,1996-05-29,284280.0,60,4738.0,C,37
7295,11328,1998-07-18,280440.0,60,4674.0,C,54
6962,9646,1998-04-02,279072.0,48,5814.0,C,1
5593,3037,1996-04-18,277884.0,36,7719.0,D,44
6232,6051,1994-07-08,276660.0,36,7685.0,B,56
6073,5263,1996-11-12,276300.0,60,4605.0,C,64
5644,3293,1998-11-27,276084.0,36,7669.0,C,1
7240,11013,1993-09-06,274740.0,60,4579.0,A,1
5568,2933,1994-05-17,272520.0,60,4542.0,C,10
6851,9138,1997-06-03,272220.0,60,4537.0,D,26
6859,9167,1998-03-07,272220.0,60,4537.0,C,56
5719,3664,1997-09-20,271584.0,48,5658.0,C,1
5365,2055,1998-07-19,271260.0,60,4521.0,C,37
6244,6118,1995-01-08,270648.0,36,7518.0,B,1
6296,6358,1996-08-06,270384.0,48,5633.0,C,3
7167,10644,1998-06-18,269964.0,36,7499.0,C,16
5556,2872,1997-05-19,268320.0,60,4472.0,C,1
7147,10478,1998-01-02,267600.0,48,5575.0,C,70
6712,8405,1995-10-14,266220.0,60,4437.0,C,20
6725,8489,1995-06-23,265320.0,36,7370.0,A,19
4988,103,1997-12-06,265320.0,36,7370.0,D,44
5082,501,1996-10-24,262980.0,60,4383.0,C,13
7122,10365,1997-01-04,260640.0,36,7240.0,D,22
6655,8085,1997-10-17,260400.0,60,4340.0,D,73
7176,10663,1995-10-28,260028.0,36,7223.0,A,11
7104,10320,1993-12-13,259740.0,60,4329.0,A,68
6012,4994,1996-08-03,258444.0,36,7179.0,C,1
5614,3137,1998-09-21,253560.0,60,4226.0,C,39
5606,3084,1996-08-28,253512.0,36,7042.0,D,59
5169,1068,1998-09-24,253200.0,60,4220.0,C,52
5170,1071,1994-01-20,253200.0,60,4220.0,C,68
5060,426,1994-07-19,252060.0,60,4201.0,D,1
7164,10613,1998-08-15,249792.0,48,5204.0,C,55
5350,1967,1996-04-21,249312.0,48,5194.0,C,26
5310,1762,1995-04-28,248148.0,36,6893.0,A,28
6254,6157,1997-12-28,247920.0,48,5165.0,C,34
6255,6158,1997-02-08,247920.0,48,5165.0,D,67
6698,8327,1996-03-10,247728.0,48,5161.0,C,1
5837,4260,1994-06-29,244560.0,60,4076.0,C,56
6955,9627,1995-11-22,244368.0,48,5091.0,C,65
6748,8645,1998-12-08,240900.0,60,4015.0,C,60
6083,5305,1998-03-31,240528.0,48,5011.0,C,47
