ClientID,AccountID,TotalLoanAmount
9340,7542,590820.0
10997,8926,566640.0
10998,8926,566640.0
2823,2335,541200.0
981,817,538500.0
3546,2936,504000.0
8506,7049,495180.0
12859,10451,482940.0
8392,6950,475680.0
8393,6950,475680.0
9846,7966,473280.0
414,339,468060.0
415,339,468060.0
3038,2516,466608.0
5788,4794,465504.0
5760,4774,465072.0
5761,4774,465072.0
7291,6034,464520.0
4474,3711,460980.0
4434,3679,444864.0
4435,3679,444864.0
3517,2910,437460.0
3072,2545,428784.0
3073,2545,428784.0
12662,10297,421008.0
13955,11349,419880.0
13956,11349,419880.0
12943,10520,417600.0
10350,8377,417060.0
10351,8377,417060.0
2720,2246,415800.0
7339,6075,407952.0
5050,4190,405780.0
5606,4650,402000.0
6257,5181,399120.0
7521,6226,398640.0
2259,1862,396120.0
13750,11186,392460.0
13751,11186,392460.0
7959,6592,390660.0
9457,7637,390096.0
9458,7637,390096.0
3629,3005,390000.0
1662,1374,389136.0
1917,1583,388512.0
2190,1808,385584.0
2191,1808,385584.0
13346,10857,385560.0
1311,1093,385104.0
3519,2912,380160.0
11637,9455,374760.0
11638,9455,374760.0
9641,7795,372120.0
9642,7795,372120.0
389,319,369000.0
6544,5422,368880.0
6545,5422,368880.0
7348,6083,360864.0
3103,2572,360000.0
5977,4948,359760.0
533,442,357840.0
127,105,352704.0
6610,5477,349392.0
12643,10280,348120.0
2719,2245,347952.0
11701,9504,341280.0
13246,10774,339168.0
3326,2754,335280.0
5866,4858,335184.0
4710,3906,334620.0
4711,3906,334620.0
10355,8381,333648.0
403,330,331584.0
404,330,331584.0
12144,9869,331560.0
12145,9869,331560.0
5245,4354,327660.0
6178,5120,323472.0
11130,9037,321936.0
11131,9037,321936.0
7325,6062,321360.0
5376,4456,321240.0
3767,3115,321180.0
3768,3115,321180.0
6299,5213,320976.0
9427,7614,320592.0
9428,7614,320592.0
45,37,318480.0
6122,5072,317520.0
13912,11317,317460.0
4433,3678,316140.0
2759,2279,314688.0
13451,10942,314520.0
12378,10065,311232.0
10273,8320,309660.0
10274,8320,309660.0
9366,7562,309600.0
1102,915,309552.0
4652,3859,307200.0
12547,10202,305424.0
6417,5313,300660.0
12133,9859,300600.0
5517,4576,300204.0
2635,2176,299088.0
8064,6678,294384.0
2489,2051,293880.0
2952,2445,293160.0
2430,2000,290820.0
6936,5735,290700.0
5978,4949,289920.0
8502,7045,288720.0
9316,7523,288468.0
10555,8558,288360.0
6803,5632,285600.0
6804,5632,285600.0
11379,9241,285240.0
11380,9241,285240.0
1133,940,284280.0
1134,940,284280.0
13924,11328,280440.0
11874,9646,279072.0
11875,9646,279072.0
3670,3037,277884.0
7311,6051,276660.0
6359,5263,276300.0
3984,3293,276084.0
13539,11013,274740.0
3542,2933,272520.0
3543,2933,272520.0
11286,9167,272220.0
11250,9138,272220.0
4417,3664,271584.0
2494,2055,271260.0
7390,6118,270648.0
7678,6358,270384.0
13089,10644,269964.0
3471,2872,268320.0
12890,10478,267600.0
10382,8405,266220.0
10475,8489,265320.0
10476,8489,265320.0
124,103,265320.0
603,501,262980.0
12756,10365,260640.0
9987,8085,260400.0
13113,10663,260028.0
12695,10320,259740.0
6033,4994,258444.0
3793,3137,253560.0
3730,3084,253512.0
1282,1068,253200.0
1286,1071,253200.0
512,426,252060.0
13051,10613,249792.0
2392,1967,249312.0
2136,1762,248148.0
7434,6157,247920.0
7435,6158,247920.0
10282,8327,247728.0
5134,4260,244560.0
11851,9627,244368.0
10662,8645,240900.0
6408,5305,240528.0
2195,1811,239460.0
12586,10233,239160.0
10075,8158,238716.0
8568,7099,234336.0
12376,10063,233424.0
6922,5724,232560.0
6946,5742,232560.0
12416,10093,231696.0
12417,10093,231696.0
3257,2699,231168.0
458,378,230400.0
2739,2262,230220.0
10566,8566,230220.0
11709,9510,228276.0
11710,9510,228276.0
11063,8982,227880.0
11064,8982,227880.0
11683,9491,225504.0
6798,5628,225420.0
10198,8260,224604.0
10199,8260,224604.0
3855,3189,222180.0
6749,5591,221880.0
6750,5591,221880.0
5318,4413,221280.0
5319,4413,221280.0
10389,8411,220620.0
9546,7713,220440.0
9997,8094,220428.0
5774,4784,219456.0
5775,4784,219456.0
12328,10022,218064.0
13576,11042,217152.0
968,808,215616.0
12464,10131,215388.0
11304,9179,215040.0
2522,2080,214596.0
2523,2080,214596.0
13640,11096,213300.0
5860,4852,213300.0
4993,4144,212976.0
4994,4144,212976.0
7914,6555,212400.0
12308,10005,210744.0
631,525,210384.0
6616,5481,209184.0
2277,1876,209040.0
13090,10645,208332.0
9945,8051,208320.0
9946,8051,208320.0
946,790,208128.0
4132,3418,207264.0
4133,3418,207264.0
2403,1978,205200.0
5727,4746,204780.0
1215,1011,204000.0
8661,7176,203940.0
6473,5362,202848.0
6474,5362,202848.0
2148,1772,202788.0
2966,2456,200976.0
2834,2345,199680.0
13071,10630,198240.0
13134,10679,197808.0
13447,10940,197748.0
13448,10940,197748.0
568,472,196800.0
13095,10650,196224.0
9611,7769,196080.0
12325,10019,194940.0
8359,6924,194880.0
12802,10404,194280.0
1913,1580,194256.0
8548,7082,194160.0
6349,5256,193968.0
5364,4447,192744.0
5365,4447,192744.0
5366,4448,192744.0
5367,4448,192744.0
1327,1106,192552.0
9417,7606,191880.0
11362,9227,191580.0
1852,1528,191088.0
2008,1656,189792.0
9663,7815,189696.0
9664,7815,189696.0
9675,7824,189696.0
11195,9093,189300.0
1157,960,189060.0
11685,9493,188688.0
11516,9353,188616.0
11517,9353,188616.0
1208,1004,188532.0
424,347,187224.0
1020,846,187104.0
11093,9006,186384.0
11004,8931,186300.0
2700,2228,185952.0
10654,8639,185640.0
1594,1318,185544.0
7150,5912,184620.0
1509,1250,182640.0
13687,11135,182628.0
2686,2218,182040.0
2687,2218,182040.0
7723,6397,181020.0
7724,6397,181020.0
6015,4981,179328.0
1051,873,178500.0
7065,5837,177804.0
3829,3166,177744.0
6764,5602,177504.0
2470,2035,176328.0
2471,2035,176328.0
11873,9645,176148.0
4299,3562,174960.0
4291,3556,174840.0
6551,5428,174744.0
6567,5442,174744.0
10528,8533,174048.0
6317,5228,173808.0
6318,5228,173808.0
10543,8547,173016.0
2083,1718,172272.0
11208,9104,172080.0
6383,5283,170832.0
10746,8713,170700.0
9450,7632,170448.0
9451,7632,170448.0
2623,2167,170256.0
13548,11021,168984.0
5699,4725,168264.0
12396,10079,167100.0
12397,10079,167100.0
2181,1801,165960.0
78,67,165960.0
1816,1498,165780.0
6039,4999,165168.0
6040,4999,165168.0
3013,2496,165120.0
3014,2496,165120.0
11359,9225,164256.0
11360,9225,164256.0
5171,4293,164196.0
1851,1527,164052.0
11271,9156,163332.0
5642,4681,162624.0
132,110,162576.0
2288,1886,162468.0
2289,1886,162468.0
4352,3608,161496.0
333,276,160920.0
9880,7997,160656.0
2841,2350,159744.0
4916,4079,158976.0
4377,3629,158760.0
6511,5395,158184.0
11768,9560,157068.0
2853,2361,156672.0
3294,2728,156420.0
939,785,156096.0
10040,8127,155880.0
10041,8127,155880.0
13820,11244,155760.0
8670,7184,155640.0
11121,9030,155616.0
11122,9030,155616.0
3649,3021,155616.0
13190,10728,154656.0
13490,10973,154416.0
4672,3875,153936.0
9370,7565,153504.0
9760,7894,153144.0
13417,10915,152460.0
8737,7240,152160.0
8738,7240,152160.0
12003,9750,151728.0
12843,10439,151560.0
